Property URL,MLS ID,Number of days on Zillow,Property price (USD),Zestimate (USD),Rent zestimate (USD per month),Tax assessed value (USD),Sold date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Price per lot/land area unit (USD),Bedrooms,Bathrooms,Broker name,Broker agent,Is owner occupied,Property owned by Zillow,Property unit number,Street address,City,Zip,State,Country,Latitude,Longitude,Listing Type
https://www.zillow.com/homedetails/5011-Walnut-St-McKeesport-PA-15132/11575512_zpid/,,,37500,,897,24500.0,08/09/2023,2453.0,sqft,15.29,4950.0,sqft,7.58,2.0,1.0,,,No,No,,5011 Walnut St,McKeesport,15132,PA,USA,40.315956,-79.831696,multi
https://www.zillow.com/homedetails/900-2nd-St-Mc-Kees-Rocks-PA-15136/11488011_zpid/,,,84000,121600.0,1394,44300.0,08/07/2023,1560.0,sqft,53.85,2557.0,sqft,32.85,4.0,2.0,,,No,No,,900 2nd St,Mc Kees Rocks,15136,PA,USA,40.46755,-80.06574,multi
https://www.zillow.com/homedetails/100-Catskill-Ave-Pittsburgh-PA-15227/11304944_zpid/,,,90000,90100.0,1599,72200.0,08/04/2023,,,,4748.04,sqft,18.96,4.0,2.0,,Richard Charles,No,No,,100 Catskill Ave,Pittsburgh,15227,PA,USA,40.378227,-79.97471,multi
https://www.zillow.com/homedetails/1784-Arlington-Ave-Pittsburgh-PA-15210/11316559_zpid/,,,12000,,1314,22400.0,08/03/2023,,,,2299.97,sqft,5.22,,,,,No,No,,1784 Arlington Ave,Pittsburgh,15210,PA,USA,40.41742,-79.983116,multi
https://www.zillow.com/homedetails/534-Ohio-Ave-Glassport-PA-15045/11543273_zpid/,,,40000,,2509,11000.0,08/03/2023,1996.0,sqft,20.04,2750.0,sqft,14.55,6.0,3.0,,,No,No,,534 Ohio Ave,Glassport,15045,PA,USA,40.32638,-79.89172,multi
https://www.zillow.com/homedetails/242-Arabella-St-Pittsburgh-PA-15210/11435705_zpid/,,,60000,,950,47700.0,08/02/2023,1617.0,sqft,37.11,2400.0,sqft,25.0,,,,,No,No,,242 Arabella St,Pittsburgh,15210,PA,USA,40.41216,-79.99256,multi
https://www.zillow.com/homedetails/2410-Mercantile-St-McKeesport-PA-15132/11501586_zpid/,,,20000,,1366,70300.0,08/02/2023,2600.0,sqft,7.69,7000.0,sqft,2.86,3.0,2.0,,,No,No,,2410 Mercantile St,McKeesport,15132,PA,USA,40.336716,-79.83155,multi
https://www.zillow.com/homedetails/525-Ohio-Ave-Glassport-PA-15045/11504617_zpid/,,,40000,70900.0,1249,39800.0,08/02/2023,2226.0,sqft,17.97,3000.0,sqft,13.33,2.0,2.0,,,No,No,,525 Ohio Ave,Glassport,15045,PA,USA,40.32669,-79.89123,multi
https://www.zillow.com/homedetails/3544-Fleming-Ave-Pittsburgh-PA-15212/11603699_zpid/,,,97000,172500.0,1784,74800.0,08/01/2023,2050.0,sqft,47.32,3859.0,sqft,25.14,4.0,2.0,,,No,No,,3544 Fleming Ave,Pittsburgh,15212,PA,USA,40.479992,-80.03884,multi
https://www.zillow.com/homedetails/28-E-Meyers-St-Pittsburgh-PA-15210/11556482_zpid/,,,45300,,1400,52400.0,07/28/2023,2002.0,sqft,22.63,3750.0,sqft,12.08,4.0,2.0,,,No,No,,28 E Meyers St,Pittsburgh,15210,PA,USA,40.39985,-79.98763,multi
https://www.zillow.com/homedetails/318-Lincoln-Ave-Millvale-PA-15209/11610976_zpid/,,,50000,50000.0,795,40900.0,07/27/2023,1600.0,sqft,31.25,3035.0,sqft,16.47,,,,,No,No,,318 Lincoln Ave,Millvale,15209,PA,USA,40.480583,-79.971794,multi
https://www.zillow.com/homedetails/53-Baldwick-Rd-Pittsburgh-PA-15205/11473759_zpid/,,,68000,68000.0,1550,9500.0,07/26/2023,1440.0,sqft,47.22,6722.0,sqft,10.12,2.0,2.0,,,No,No,,53 Baldwick Rd,Pittsburgh,15205,PA,USA,40.428455,-80.0644,multi
https://www.zillow.com/homedetails/1417-Alton-St-Pittsburgh-PA-15216/11444922_zpid/,,,70000,70000.0,1895,80900.0,07/25/2023,2160.0,sqft,32.41,3000.0,sqft,23.33,4.0,2.0,,,No,No,,1417 Alton St,Pittsburgh,15216,PA,USA,40.412582,-80.02087,multi
https://www.zillow.com/homedetails/1031-Ross-Ave-Pittsburgh-PA-15221/11379905_zpid/,,,90000,98500.0,1584,33000.0,07/22/2023,,,,4277.59,sqft,21.04,6.0,3.0,,Gloria Marshman,No,No,,1031 Ross Ave,Pittsburgh,15221,PA,USA,40.44086,-79.87838,multi
https://www.zillow.com/homedetails/349-Grace-St-Mount-Washington-PA-15211/11515587_zpid/,,,95000,171800.0,1536,67400.0,07/21/2023,1408.0,sqft,67.47,4500.0,sqft,21.11,2.0,2.0,,,No,No,,349 Grace St,Mount Washington,15211,PA,USA,40.429897,-80.01223,multi
https://www.zillow.com/homedetails/444-Minton-St-Pittsburgh-PA-15204/11483159_zpid/,,,60000,60100.0,1421,75000.0,07/19/2023,2276.0,sqft,26.36,2500.0,sqft,24.0,3.0,2.0,,,No,No,,444 Minton St,Pittsburgh,15204,PA,USA,40.45687,-80.05271,multi
https://www.zillow.com/homedetails/1060-1062-Steuben-St-Pittsburgh-PA-15220/11362197_zpid/,,,45000,,1798,40700.0,07/18/2023,2224.0,sqft,20.23,7250.0,sqft,6.21,4.0,2.0,,,No,No,,1060-1062 Steuben St,Pittsburgh,15220,PA,USA,40.44263,-80.044975,multi
https://www.zillow.com/homedetails/2520-Walnut-St-McKeesport-PA-15132/11502673_zpid/,,,76500,76600.0,1150,30100.0,07/17/2023,1632.0,sqft,46.88,2500.0,sqft,30.6,4.0,2.0,,,No,No,,2520 Walnut St,McKeesport,15132,PA,USA,40.333836,-79.84879,multi
https://www.zillow.com/homedetails/2520-2520-2522-Walnut-St-McKeesport-PA-15132/2057452413_zpid/,,,76500,,1134,,07/14/2023,,,,2500.34,sqft,30.6,4.0,2.0,,Sandra Tokosh,No,No,,2520 2520/2522 Walnut St,McKeesport,15132,PA,USA,,,multi
https://www.zillow.com/homedetails/140-142-Zara-St-Pittsburgh-PA-15210/11317108_zpid/,,,80000,117000.0,1525,27000.0,07/12/2023,1616.0,sqft,49.5,3000.0,sqft,26.67,4.0,2.0,,,No,No,,140-142 Zara St,Pittsburgh,15210,PA,USA,40.415646,-79.99008,multi
https://www.zillow.com/homedetails/429-E-End-Ave-Pittsburgh-PA-15221/11341784_zpid/,,,65000,,1777,100000.0,07/10/2023,1568.0,sqft,41.45,1837.0,sqft,35.38,4.0,2.0,,,No,No,,429 E End Ave,Pittsburgh,15221,PA,USA,40.442783,-79.89517,multi
https://www.zillow.com/homedetails/224-Martsolf-Ave-Pittsburgh-PA-15229/11409139_zpid/,,,92000,183900.0,2722,91800.0,07/10/2023,2148.0,sqft,42.83,3920.0,sqft,23.47,8.0,3.0,,,No,No,,224 Martsolf Ave,Pittsburgh,15229,PA,USA,40.513786,-80.02685,multi
https://www.zillow.com/homedetails/701-Park-St-McKeesport-PA-15132/11425488_zpid/,,,95000,95200.0,2212,38000.0,07/07/2023,,,,3001.28,sqft,31.65,,,,Hedy Krenn,No,No,,701 Park St,McKeesport,15132,PA,USA,40.34954,-79.850266,multi
https://www.zillow.com/homedetails/5012-Grand-Ave-Pittsburgh-PA-15225/2060974729_zpid/,,,78000,78200.0,1249,,07/07/2023,,,,3001.28,sqft,25.99,,,,Nicholas Fix,No,No,,5012 Grand Ave,Pittsburgh,15225,PA,USA,,,multi
https://www.zillow.com/homedetails/314-Bracken-Ave-Pittsburgh-PA-15227/11305257_zpid/,,,95299,170100.0,1550,60700.0,07/05/2023,1690.0,sqft,56.39,2936.0,sqft,32.46,4.0,2.0,,,No,No,,314 Bracken Ave,Pittsburgh,15227,PA,USA,40.37674,-79.97982,multi
https://www.zillow.com/homedetails/219-5th-Ave-Carnegie-PA-15106/11255945_zpid/,,,90000,90200.0,825,85000.0,07/03/2023,2156.0,sqft,41.74,3375.0,sqft,26.67,,,,,No,No,,219 5th Ave,Carnegie,15106,PA,USA,40.406414,-80.0911,multi
https://www.zillow.com/homedetails/641-6th-St-Pitcairn-PA-15140/11601792_zpid/,,,75000,136700.0,2296,53600.0,07/03/2023,2200.0,sqft,34.09,2500.0,sqft,30.0,4.0,3.0,,,No,No,,641 6th St,Pitcairn,15140,PA,USA,40.40487,-79.77496,multi
https://www.zillow.com/homedetails/504-Foundry-St-Pittsburgh-PA-15215/11373556_zpid/,,,15000,,1632,68600.0,06/30/2023,1664.0,sqft,9.01,2.36,acres,6355.91,3.0,1.0,,,No,No,,504 Foundry St,Pittsburgh,15215,PA,USA,40.502335,-79.941895,multi
https://www.zillow.com/homedetails/2413-Rydal-St-Pittsburgh-PA-15205/11476699_zpid/,,,90000,198000.0,1814,105000.0,06/30/2023,2199.0,sqft,40.93,4000.0,sqft,22.5,4.0,2.0,,,No,No,,2413 Rydal St,Pittsburgh,15205,PA,USA,40.435265,-80.05489,multi
