Property URL,MLS ID,Number of days on Zillow,Property price (USD),Zestimate (USD),Rent zestimate (USD per month),Tax assessed value (USD),Sold date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Price per lot/land area unit (USD),Bedrooms,Bathrooms,Broker name,Broker agent,Is owner occupied,Property owned by Zillow,Property unit number,Street address,City,Zip,State,Country,Latitude,Longitude,Listing Type
https://www.zillow.com/homedetails/507-Hunters-Path-Rd-APT-12-Bridgeville-PA-15017/59858203_zpid/,,,96000,127000.0,957,48600.0,08/08/2023,920.0,sqft,104.35,920.0,sqft,104.35,1.0,1.0,,,No,No,Apt 12,507 Hunters Path Rd APT 12,Bridgeville,15017,PA,USA,40.326313,-80.129585,condos
https://www.zillow.com/homedetails/507-Hunters-Path-Rd-APT-12-B-Bridgeville-PA-15017/2057300673_zpid/,,,96000,96000.0,950,,08/07/2023,,,,,,,1.0,1.0,,Beverly Herndon,No,No,Apt 12-B,507 Hunters Path Rd APT 12-B,Bridgeville,15017,PA,USA,,,condos
https://www.zillow.com/homedetails/633-Forest-Green-Dr-Coraopolis-PA-15108/11552273_zpid/,,,88750,84400.0,984,47300.0,08/04/2023,845.0,sqft,105.03,,,,1.0,1.0,,Lori Maffeo,No,No,,633 Forest Green Dr,Coraopolis,15108,PA,USA,40.50936,-80.21526,condos
https://www.zillow.com/homedetails/326-Station-St-Wilmerding-PA-15148/11536846_zpid/,,,37500,89800.0,941,65000.0,08/03/2023,1152.0,sqft,32.55,1216.0,sqft,30.84,2.0,1.0,,,No,No,,326 Station St,Wilmerding,15148,PA,USA,40.393402,-79.807884,condos
https://www.zillow.com/homedetails/844-Thorn-St-APT-67-Sewickley-PA-15143/61279325_zpid/,,,119000,118900.0,1051,46700.0,07/25/2023,550.0,sqft,216.36,,,,1.0,1.0,,Jodi Hilliard,No,No,Apt 67,844 Thorn St APT 67,Sewickley,15143,PA,USA,40.534,-80.177734,condos
https://www.zillow.com/homedetails/609-Calais-Dr-APT-3110-Pittsburgh-PA-15237/164683157_zpid/,,,126000,125900.0,1393,63700.0,07/25/2023,772.0,sqft,163.21,,,,1.0,1.0,,Karen Minnitte,No,No,Apt 3110,609 Calais Dr APT 3110,Pittsburgh,15237,PA,USA,40.567795,-80.053925,condos
https://www.zillow.com/homedetails/323-Ridge-Point-Cir-APT-23-Bridgeville-PA-15017/59856076_zpid/,,,125000,97900.0,1200,48600.0,07/21/2023,916.0,sqft,136.46,435.6,sqft,286.96,2.0,1.0,,Jennifer Crouse,No,No,Apt 23,323 Ridge Point Cir APT 23,Bridgeville,15017,PA,USA,40.32574,-80.12502,condos
https://www.zillow.com/homedetails/2455-Brook-Ledge-Rd-APT-23B-Bridgeville-PA-15017/59856744_zpid/,,,85000,85000.0,1200,48600.0,07/21/2023,920.0,sqft,92.39,920.0,sqft,92.39,2.0,1.0,,,No,No,Apt 23B,2455 Brook Ledge Rd APT 23B,Bridgeville,15017,PA,USA,40.326042,-80.12038,condos
https://www.zillow.com/homedetails/2455-Brookledge-Rd-APT-23B-Bridgeville-PA-15017/2057491064_zpid/,,,85000,,1200,,07/19/2023,920.0,sqft,92.39,339.77,sqft,250.17,2.0,1.0,,Mary Eve Kearns,No,No,Apt 23B,2455 Brookledge Rd APT 23B,Bridgeville,15017,PA,USA,,,condos
https://www.zillow.com/homedetails/420-N-Chestnut-St-APT-505-Pittsburgh-PA-15202/11324989_zpid/,,,82500,82700.0,959,62900.0,07/14/2023,760.0,sqft,108.55,,sqft,,1.0,1.0,,Cindy Rezabeck,No,No,Apt 505,420 N Chestnut St APT 505,Pittsburgh,15202,PA,USA,40.500412,-80.06513,condos
https://www.zillow.com/homedetails/2034-Swallow-Hill-Rd-APT-308-Pittsburgh-PA-15220/11577319_zpid/,,,120000,159900.0,1417,75500.0,07/14/2023,816.0,sqft,147.06,5.29,acres,22684.35,2.0,1.0,,,No,No,Apt 308,2034 Swallow Hill Rd APT 308,Pittsburgh,15220,PA,USA,40.39917,-80.07738,condos
https://www.zillow.com/homedetails/301-S-Home-Ave-206-Pittsburgh-PA-15202/2072657288_zpid/,,,90000,90200.0,887,,07/14/2023,,,,,,,1.0,1.0,,Christine Hoss,No,No,# 206,301 S Home Ave #206,Pittsburgh,15202,PA,USA,40.496864,-80.06326,condos
https://www.zillow.com/homedetails/1987-Centurion-Dr-APT-11-Pittsburgh-PA-15221/11420871_zpid/,,,75000,75200.0,806,42400.0,07/11/2023,514.0,sqft,145.91,139.39,sqft,538.05,1.0,1.0,,,No,No,Apt 11,1987 Centurion Dr APT 11,Pittsburgh,15221,PA,USA,40.422855,-79.85321,condos
